rule,seed,note,raw_full,abs_full,raw_settled,abs_settled,density_settled
seeds,0,III — explosive chaos,0.7936851851851852,0.9565370370370371,0.7941111111111111,0.9574,0.21168333333333333
seeds,1,III — explosive chaos,0.7912314814814815,0.9577129629629629,0.7930222222222222,0.9574222222222222,0.21080277777777778
seeds,2,III — explosive chaos,0.7937685185185185,0.9567407407407408,0.7945333333333333,0.9571555555555555,0.21185
seeds,3,III — explosive chaos,0.7931481481481482,0.9572037037037037,0.7929777777777778,0.9571555555555555,0.211425
seeds,4,III — explosive chaos,0.7926388888888889,0.9577962962962963,0.7926666666666666,0.9584,0.21104444444444445
seeds,5,III — explosive chaos,0.7926944444444445,0.9578055555555556,0.7932444444444444,0.9582,0.21061944444444444
seeds,6,III — explosive chaos,0.7944722222222222,0.9567037037037037,0.7960666666666667,0.9569333333333333,0.21340555555555554
seeds,7,III — explosive chaos,0.7925555555555556,0.9578518518518518,0.7928888888888889,0.9577333333333333,0.2106361111111111
replicator,0,additive — 2D rule 90,0.2746851851851852,0.2746851851851852,0.6056666666666667,0.6056444444444444,0.4992333333333333
replicator,1,additive — 2D rule 90,0.2746574074074074,0.2746574074074074,0.6057555555555556,0.6057333333333333,0.4994277777777778
replicator,2,additive — 2D rule 90,0.27467592592592593,0.27466666666666667,0.6056222222222222,0.6056444444444444,0.4996888888888889
replicator,3,additive — 2D rule 90,0.2746574074074074,0.2746388888888889,0.6056,0.6056222222222222,0.49994444444444447
replicator,4,additive — 2D rule 90,0.2746851851851852,0.27467592592592593,0.6057333333333333,0.6057333333333333,0.49675555555555556
replicator,5,additive — 2D rule 90,0.27469444444444446,0.27466666666666667,0.6057111111111111,0.6056666666666667,0.5013444444444445
replicator,6,additive — 2D rule 90,0.2746296296296296,0.2746574074074074,0.6057333333333333,0.6057111111111111,0.4974166666666667
replicator,7,additive — 2D rule 90,0.27469444444444446,0.2746851851851852,0.6056444444444444,0.6057555555555556,0.49778333333333336
