seed,condition,comp_state,comp_rulefield,distinct_t0,distinct_final
32,uniform_110,0.8208,,,
32,frozen_random,0.1308,,,
32,frozen_mosaic,0.0776,,,
32,gated_diffusion,0.1128,0.09805,81.0,24.0
32,read_from_state,0.2644,,,
33,uniform_4,0.0268,,,
33,uniform_30,1.0044,,,
33,uniform_90,1.0044,,,
33,uniform_110,0.7748,,,
33,frozen_random,0.092,,,
33,frozen_mosaic,0.0952,,,
33,gated_diffusion,0.1464,0.1079,78.0,20.0
33,read_from_state,0.2632,,,
34,uniform_4,0.0264,,,
34,uniform_30,1.0044,,,
34,uniform_90,1.0044,,,
34,uniform_110,0.7916,,,
34,frozen_random,0.1872,,,
34,frozen_mosaic,0.5072,,,
34,gated_diffusion,0.1524,0.1024,80.0,23.0
34,read_from_state,0.2888,,,
35,uniform_4,0.0264,,,
35,uniform_30,1.0044,,,
35,uniform_90,1.0044,,,
35,uniform_110,0.7548,,,
35,frozen_random,0.29,,,
35,frozen_mosaic,0.646,,,
35,gated_diffusion,0.1536,0.12405,82.0,17.0
35,read_from_state,0.2836,,,
36,uniform_4,0.0268,,,
36,uniform_30,1.0044,,,
36,uniform_90,1.0044,,,
36,uniform_110,0.818,,,
36,frozen_random,0.2412,,,
36,frozen_mosaic,0.4208,,,
36,gated_diffusion,0.1468,0.10345,83.0,19.0
36,read_from_state,0.346,,,
37,uniform_4,0.0268,,,
37,uniform_30,1.0044,,,
37,uniform_90,1.0044,,,
37,uniform_110,0.836,,,
37,frozen_random,0.268,,,
37,frozen_mosaic,0.1312,,,
37,gated_diffusion,0.1156,0.0943,85.0,25.0
37,read_from_state,0.33,,,
38,uniform_4,0.0264,,,
38,uniform_30,1.0044,,,
38,uniform_90,1.0044,,,
38,uniform_110,0.7564,,,
38,frozen_random,0.1072,,,
38,frozen_mosaic,0.35,,,
38,gated_diffusion,0.114,0.08725,83.0,27.0
38,read_from_state,0.2388,,,
39,uniform_4,0.0248,,,
39,uniform_30,1.0044,,,
39,uniform_90,1.0044,,,
39,uniform_110,0.74,,,
39,frozen_random,0.1888,,,
39,frozen_mosaic,0.1044,,,
39,gated_diffusion,0.1532,0.11170000000000001,83.0,19.0
39,read_from_state,0.376,,,
40,uniform_4,0.0272,,,
40,uniform_30,1.0044,,,
40,uniform_90,1.0044,,,
40,uniform_110,0.8628,,,
40,frozen_random,0.0656,,,
40,frozen_mosaic,0.068,,,
40,gated_diffusion,0.1384,0.10924999999999999,86.0,23.0
40,read_from_state,0.2192,,,
41,uniform_4,0.0256,,,
41,uniform_30,1.0044,,,
41,uniform_90,1.0044,,,
41,uniform_110,0.8524,,,
41,frozen_random,0.1332,,,
41,frozen_mosaic,0.0588,,,
41,gated_diffusion,0.1312,0.09595000000000001,79.0,20.0
41,read_from_state,0.32,,,
42,uniform_4,0.0268,,,
42,uniform_30,1.0044,,,
42,uniform_90,1.0044,,,
42,uniform_110,0.7088,,,
42,frozen_random,0.4236,,,
42,frozen_mosaic,0.034,,,
42,gated_diffusion,0.1176,0.09035,85.0,23.0
42,read_from_state,0.2596,,,
43,uniform_4,0.0264,,,
43,uniform_30,1.0044,,,
43,uniform_90,1.0044,,,
43,uniform_110,0.8936,,,
43,frozen_random,0.1464,,,
43,frozen_mosaic,0.09,,,
43,gated_diffusion,0.1412,0.1037,80.0,22.0
43,read_from_state,0.156,,,
44,uniform_4,0.0256,,,
44,uniform_30,1.0044,,,
44,uniform_90,1.0044,,,
44,uniform_110,0.8068,,,
44,frozen_random,0.174,,,
44,frozen_mosaic,0.1076,,,
44,gated_diffusion,0.1264,0.10815,86.0,15.0
44,read_from_state,0.3492,,,
45,uniform_4,0.0244,,,
45,uniform_30,1.0044,,,
45,uniform_90,1.0044,,,
45,uniform_110,0.8532,,,
45,frozen_random,0.1536,,,
45,frozen_mosaic,0.0588,,,
45,gated_diffusion,0.106,0.08990000000000001,82.0,19.0
45,read_from_state,0.1116,,,
46,uniform_4,0.0264,,,
46,uniform_30,1.0044,,,
46,uniform_90,1.0044,,,
46,uniform_110,0.7524,,,
46,frozen_random,0.1088,,,
46,frozen_mosaic,0.1364,,,
46,gated_diffusion,0.1764,0.1276,80.0,16.0
46,read_from_state,0.2664,,,
47,uniform_4,0.026,,,
47,uniform_30,1.0044,,,
47,uniform_90,1.0044,,,
47,uniform_110,0.6088,,,
47,frozen_random,0.1424,,,
47,frozen_mosaic,0.5788,,,
47,gated_diffusion,0.11,0.08905,80.0,24.0
47,read_from_state,0.3164,,,
48,uniform_4,0.0268,,,
48,uniform_30,1.0044,,,
48,uniform_90,1.0044,,,
48,uniform_110,0.6376,,,
48,frozen_random,0.2384,,,
48,frozen_mosaic,0.6528,,,
48,gated_diffusion,0.154,0.1001,80.0,21.0
48,read_from_state,0.1476,,,
49,uniform_4,0.026,,,
49,uniform_30,1.0044,,,
49,uniform_90,1.0044,,,
49,uniform_110,0.7684,,,
49,frozen_random,0.3244,,,
49,frozen_mosaic,0.036,,,
49,gated_diffusion,0.152,0.10135,88.0,25.0
49,read_from_state,0.2496,,,
50,uniform_4,0.0264,,,
50,uniform_30,1.0044,,,
50,uniform_90,1.0044,,,
50,uniform_110,0.7564,,,
50,frozen_random,0.1376,,,
50,frozen_mosaic,0.6044,,,
50,gated_diffusion,0.128,0.09889999999999999,86.0,16.0
